group	names	scores	logfoldchanges	pvals	pvals_adj
23	ADAMTS4	0.7543134		0.45066103656561474	0.9996797106593235
23	ODAM	0.6943807		0.4874435091945202	0.9996797106593235
23	PTGS2	0.59577656		0.551324512655713	0.9996797106593235
24	MUC5B	31.835964		2.0589687546749605e-222	4.117937509349921e-219
24	MUC16	19.188906		4.581887904409599e-82	4.581887904409599e-79
24	MUC2	5.9441137		2.7795635377948166e-09	1.8530423585298778e-06
24	FBLN1	4.8424425		1.2825268214312982e-06	0.0006412634107156491
24	IGHE	4.656915		3.2098224697835667e-06	0.0012653245184952794
24	IGLC2	4.6222515		3.7959735554858387e-06	0.0012653245184952794
24	FN1	3.5273566		0.0004197310663002334	0.1023830416868006
24	IGLC3	3.5201912		0.00043123567556900924	0.1023830416868006
24	CALY	3.50261		0.00046072368759060263	0.1023830416868006
24	SPRY1	3.430724		0.0006019727091207956	0.12039454182415912
25	FGL1	26.128426		1.733559091931554e-150	3.467118183863108e-147
25	ALB	26.089685		4.7737426098668466e-150	4.7737426098668463e-147
25	PLPP3	6.2155204		5.115475510426043e-10	2.5577377552130214e-07
25	CREM	4.1859326		2.83997338415963e-05	0.01135989353663852
25	SERPING1	3.7120697		0.0002055713950573065	0.058734684302087566
25	MT1A	2.3548508		0.018530146092198888	0.9999965385950531
25	CCL22	2.257754		0.023961000977442574	0.9999965385950531
25	TSPAN8	1.4775599		0.13952561874725566	0.9999965385950531
25	TAT-AS1	1.1568463		0.2473351723191688	0.9999965385950531
25	MMP1	1.1030247		0.2700164066513515	0.9999965385950531
26	BPIFB1	41.25866		0.0	0.0
26	LINC00052	10.968782		5.399459186900888e-28	5.399459186900888e-25
26	TRH	9.906438		3.9031537218838475e-23	2.6021024812558984e-20
26	CADM2	7.8706064		3.5292610023839687e-15	1.7646305011919842e-12
26	FGF4	3.9338799		8.358556599999444e-05	0.023881590285712698
26	TPH1	3.8570037		0.00011478541524180602	0.028696353810451505
26	CORO6	3.6837206		0.00022985416807785213	0.051078704017300476
26	CAMP	3.0168402		0.0025542441721072423	0.5108488344214485
26	NPPC	2.233363		0.025525015432313534	0.9999976834676578
26	MUC5B	2.209637		0.02713037272041639	0.9999976834676578
27	AC008663.1	31.648771		7.884377681990232e-220	1.5768755363980463e-216
27	TRH	14.739895		3.57342482658692e-49	3.57342482658692e-46
27	GAGE2A	7.607904		2.7857708823925126e-14	1.857180588261675e-11
